Season,Episode,Part,Length,Date,Doc1,Doc2,Doc3,Doc4,Doc5,Doc6,Doc7,Doc8,Doc9,Doc10,Doc11,Doc12,Doc13,Title,Title (temp),,
2,79,2,25,1965-07-10,y,0,0,0,0,0,0,0,0,0,0,0,0,The Time Meddler,0,,
2,80,3,25,1965-07-17,y,0,0,0,0,0,0,0,0,0,0,0,0,The Time Meddler,0,,
2,81,4,25,1965-07-24,y,0,0,0,0,0,0,0,0,0,0,0,0,The Time Meddler,0,,
3,82,1,25,1965-09-11,y,0,0,0,0,0,0,0,0,0,0,0,0,Galaxy 4,Galaxy 4,,
3,83,2,25,1965-09-18,y,0,0,0,0,0,0,0,0,0,0,0,0,Galaxy 4,0,,
3,84,3,25,1965-09-25,y,0,0,0,0,0,0,0,0,0,0,0,0,Galaxy 4,0,,
3,85,4,25,1965-10-02,y,0,0,0,0,0,0,0,0,0,0,0,0,Galaxy 4,0,,
3,86,1,25,1965-10-09,0,0,0,0,0,0,0,0,0,0,0,0,0,Mission to the Unknown,Mission to the Unknown,,
3,87,1,25,1965-10-16,y,0,0,0,0,0,0,0,0,0,0,0,0,The Myth Makers,The Myth Makers,,
3,88,2,25,1965-10-23,y,0,0,0,0,0,0,0,0,0,0,0,0,The Myth Makers,0,,
3,89,3,25,1965-10-30,y,0,0,0,0,0,0,0,0,0,0,0,0,The Myth Makers,0,,
3,90,4,25,1965-11-06,y,0,0,0,0,0,0,0,0,0,0,0,0,The Myth Makers,0,,
3,91,1,25,1965-11-13,y,0,0,0,0,0,0,0,0,0,0,0,0,'The Daleks'' Master Plan','The Daleks'' Master Plan',,
3,92,2,25,1965-11-20,y,0,0,0,0,0,0,0,0,0,0,0,0,'The Daleks'' Master Plan',0,,
3,93,3,25,1965-11-27,y,0,0,0,0,0,0,0,0,0,0,0,0,'The Daleks'' Master Plan',0,,
3,94,4,25,1965-12-04,y,0,0,0,0,0,0,0,0,0,0,0,0,'The Daleks'' Master Plan',0,,
